arquivo_csv,quantidade_itens,capacidade_peso,capacidade_volume,tempo_medio_dp,tempo_medio_bt,tempo_medio_bb,razao_tempo_bt_sobre_dp,razao_tempo_bb_sobre_dp,razao_tempo_bb_sobre_bt
bb_dp_combinacoes_1000_nwp.csv,200.0,400.0,400.0,"0,13",,"0,021",,"0,16",
bb_dp_combinacoes_1000_nwp.csv,200.0,400.0,500.0,"0,13",,"0,018",,"0,14",
bb_dp_combinacoes_1000_nwp.csv,200.0,400.0,600.0,"0,15",,"0,031",,"0,2",
bb_dp_combinacoes_1000_nwp.csv,200.0,400.0,700.0,"0,15",,"0,017",,"0,11",
bb_dp_combinacoes_1000_nwp.csv,200.0,400.0,800.0,"0,2",,"0,031",,"0,16",
bb_dp_combinacoes_1000_nwp.csv,200.0,400.0,900.0,"0,14",,"0,015",,"0,11",
bb_dp_combinacoes_1000_nwp.csv,200.0,400.0,1000.0,"0,12",,"0,019",,"0,15",
bb_dp_combinacoes_1000_nwp.csv,200.0,500.0,100.0,"0,026",,"0,013",,"0,51",
bb_dp_combinacoes_1000_nwp.csv,200.0,500.0,200.0,"0,074",,"0,037",,"0,5",
bb_dp_combinacoes_1000_nwp.csv,200.0,500.0,300.0,"0,082",,"0,021",,"0,25",
bb_dp_combinacoes_1000_nwp.csv,200.0,500.0,400.0,"0,15",,"0,025",,"0,17",
bb_dp_combinacoes_1000_nwp.csv,200.0,500.0,500.0,"0,11",,"0,028",,"0,26",
bb_dp_combinacoes_1000_nwp.csv,200.0,500.0,600.0,"0,13",,"0,041",,"0,3",
bb_dp_combinacoes_1000_nwp.csv,200.0,500.0,700.0,"0,26",,"0,035",,"0,13",
bb_dp_combinacoes_1000_nwp.csv,200.0,500.0,800.0,"0,22",,"0,014",,"0,062",
bb_dp_combinacoes_1000_nwp.csv,200.0,500.0,900.0,"0,13",,"0,015",,"0,12",
bb_dp_combinacoes_1000_nwp.csv,200.0,500.0,1000.0,"0,28",,"0,024",,"0,085",
bb_dp_combinacoes_1000_nwp.csv,200.0,600.0,100.0,"0,033",,"0,014",,"0,44",
bb_dp_combinacoes_1000_nwp.csv,200.0,600.0,200.0,"0,065",,"0,018",,"0,27",
bb_dp_combinacoes_1000_nwp.csv,200.0,600.0,300.0,"0,11",,"0,02",,"0,19",
bb_dp_combinacoes_1000_nwp.csv,200.0,600.0,400.0,"0,15",,"0,034",,"0,22",
bb_dp_combinacoes_1000_nwp.csv,200.0,600.0,500.0,"0,15",,"0,023",,"0,15",
bb_dp_combinacoes_1000_nwp.csv,200.0,600.0,600.0,"0,18",,"0,017",,"0,097",
bb_dp_combinacoes_1000_nwp.csv,200.0,600.0,700.0,"0,25",,"0,016",,"0,063",
bb_dp_combinacoes_1000_nwp.csv,200.0,600.0,800.0,"0,26",,"0,032",,"0,12",
bb_dp_combinacoes_1000_nwp.csv,200.0,600.0,900.0,"0,23",,"0,027",,"0,12",
bb_dp_combinacoes_1000_nwp.csv,200.0,600.0,1000.0,"0,56",,"0,049",,"0,088",
bb_dp_combinacoes_1000_nwp.csv,200.0,700.0,100.0,"0,048",,"0,025",,"0,52",
bb_dp_combinacoes_1000_nwp.csv,200.0,700.0,200.0,"0,096",,"0,028",,"0,29",
bb_dp_combinacoes_1000_nwp.csv,200.0,700.0,300.0,"0,14",,"0,027",,"0,2",
bb_dp_combinacoes_1000_nwp.csv,200.0,700.0,400.0,"0,16",,"0,018",,"0,11",
bb_dp_combinacoes_1000_nwp.csv,200.0,700.0,500.0,"0,27",,"0,014",,"0,051",
