arquivo_csv,quantidade_itens,capacidade_peso,capacidade_volume,algoritmo,execucoes,tempo_medio,tempo_mediano,desvio_padrao_tempo,tempo_minimo,tempo_maximo,lucro_medio,coeficiente_variacao_tempo
CSV_100a1000.csv,400,500,500,bt,10,"19,4468","8,8626","25,5802","0,86","77,9252",7319.3,"1,3154"
CSV_100a1000.csv,400,500,500,bb,10,"2,8428","1,5048","3,6893","0,18","10,6008",7319.3,"1,2978"
CSV_100a1000.csv,500,100,100,dp,10,"0,042","0,042","0,0029","0,037","0,046",7090.4,"0,069"
CSV_100a1000.csv,500,100,100,bt,10,"34,5330","29,5508","27,7903","6,1790","85,3180",7090.4,"0,8"
CSV_100a1000.csv,500,100,100,bb,10,"3,1293","1,6038","3,4638","0,46","11,4598",7090.4,"1,1069"
CSV_100a1000.csv,500,100,200,dp,10,"0,079","0,081","0,008","0,064","0,088",7364.1,"0,1"
CSV_100a1000.csv,500,100,200,bt,10,"67,1344","42,1173","62,2725","1,6973","203,2551",7364.1,"0,93"
CSV_100a1000.csv,500,100,200,bb,10,"6,9975","5,6187","7,6815","0,43","27,1787",7364.1,"1,0978"
CSV_100a1000.csv,500,100,300,dp,10,"0,15","0,15","0,017","0,12","0,18",7220.0,"0,11"
CSV_100a1000.csv,500,100,300,bt,10,"70,3651","42,7739","69,9212","9,6558","214,3869",7220.0,"0,99"
CSV_100a1000.csv,500,100,300,bb,10,"11,3684","7,6454","15,2550","0,54","50,5482",7220.0,"1,3419"
CSV_100a1000.csv,500,100,400,dp,10,"0,2","0,2","0,041","0,15","0,3",7357.4,"0,2"
CSV_100a1000.csv,500,100,400,bt,10,"88,5676","36,9272","130,1619","11,6418","436,3552",7357.4,"1,4696"
CSV_100a1000.csv,500,100,400,bb,10,"7,0132","4,8987","5,4981","1,5142","16,9082",7357.4,"0,78"
CSV_100a1000.csv,500,100,500,dp,10,"0,25","0,25","0,076","0,13","0,36",7464.0,"0,3"
CSV_100a1000.csv,500,100,500,bt,10,"51,5023","43,6285","47,0896","3,2115","170,9324",7464.0,"0,91"
CSV_100a1000.csv,500,100,500,bb,10,"5,5877","4,8906","4,7493","1,3055","16,5009",7464.0,"0,85"
CSV_100a1000.csv,500,200,100,dp,10,"0,097","0,099","0,014","0,07","0,11",7565.9,"0,14"
CSV_100a1000.csv,500,200,100,bt,10,"78,4299","30,7555","106,7644","11,6182","348,2229",7565.9,"1,3613"
CSV_100a1000.csv,500,200,100,bb,10,"7,2442","3,0223","9,2692","1,0112","31,0466",7565.9,"1,2795"
CSV_100a1000.csv,500,200,200,dp,10,"0,19","0,2","0,023","0,15","0,23",7625.6,"0,12"
CSV_100a1000.csv,500,200,200,bt,10,"126,5538","77,4386","133,0875","13,5092","463,2672",7625.6,"1,0516"
