n,W,V,rep,instance,algorithm,profit,chosen_items,time_seconds,time_unit
100,1000,1000000000,5,instances/n100_w1000_v1000000000_r5.txt,bb,4004,"5 15 49 55 64 84",0.001059334,seconds
100,1000,1000000000,6,instances/n100_w1000_v1000000000_r6.txt,dp,4018,"9 25 30 48 88 98",0.015197095,seconds
100,1000,1000000000,6,instances/n100_w1000_v1000000000_r6.txt,bt,4018,"9 25 30 48 88 98",0.004740761,seconds
100,1000,1000000000,6,instances/n100_w1000_v1000000000_r6.txt,bb,4018,"9 25 30 48 88 98",0.000463840,seconds
100,1000,1000000000,7,instances/n100_w1000_v1000000000_r7.txt,dp,3294,"40 65 70 77 91",0.002476529,seconds
100,1000,1000000000,7,instances/n100_w1000_v1000000000_r7.txt,bt,3294,"40 65 70 77 91",0.001976987,seconds
100,1000,1000000000,7,instances/n100_w1000_v1000000000_r7.txt,bb,3294,"40 65 70 77 91",0.000406564,seconds
100,1000,1000000000,8,instances/n100_w1000_v1000000000_r8.txt,dp,3990,"7 41 47 53 63 68",0.003180765,seconds
100,1000,1000000000,8,instances/n100_w1000_v1000000000_r8.txt,bt,3990,"7 41 47 53 63 68",0.001358353,seconds
100,1000,1000000000,8,instances/n100_w1000_v1000000000_r8.txt,bb,3990,"7 41 47 53 63 68",0.000617531,seconds
100,1000,1000000000,9,instances/n100_w1000_v1000000000_r9.txt,dp,3505,"30 40 42 47 77 95",0.004813145,seconds
100,1000,1000000000,9,instances/n100_w1000_v1000000000_r9.txt,bt,3505,"30 40 42 47 77 95",0.001390223,seconds
100,1000,1000000000,9,instances/n100_w1000_v1000000000_r9.txt,bb,3505,"30 40 42 47 77 95",0.000552996,seconds
100,1000,1000000000,10,instances/n100_w1000_v1000000000_r10.txt,dp,4661,"54 58 73 80 82 93",0.011691213,seconds
100,1000,1000000000,10,instances/n100_w1000_v1000000000_r10.txt,bt,4661,"54 58 73 80 82 93",0.005729062,seconds
100,1000,1000000000,10,instances/n100_w1000_v1000000000_r10.txt,bb,4661,"54 58 73 80 82 93",0.000373910,seconds
100,100000,1000,1,instances/n100_w100000_v1000_r1.txt,dp,4625,"3 23 25 41 42 44 63",0.012497897,seconds
100,100000,1000,1,instances/n100_w100000_v1000_r1.txt,bt,4625,"3 23 25 41 42 44 63",0.002804020,seconds
100,100000,1000,1,instances/n100_w100000_v1000_r1.txt,bb,4625,"3 23 25 41 42 44 63",0.001061739,seconds
100,100000,1000,2,instances/n100_w100000_v1000_r2.txt,dp,3486,"5 89 97 100",0.003310161,seconds
100,100000,1000,2,instances/n100_w100000_v1000_r2.txt,bt,3486,"5 89 97 100",0.000844883,seconds
100,100000,1000,2,instances/n100_w100000_v1000_r2.txt,bb,3486,"5 89 97 100",0.000331575,seconds
100,100000,1000,3,instances/n100_w100000_v1000_r3.txt,dp,5008,"8 10 38 41 69 73 89",0.025089416,seconds
100,100000,1000,3,instances/n100_w100000_v1000_r3.txt,bt,5008,"8 10 38 41 69 73 89",0.007118893,seconds
100,100000,1000,3,instances/n100_w100000_v1000_r3.txt,bb,5008,"8 10 38 41 69 73 89",0.000783783,seconds
100,100000,1000,4,instances/n100_w100000_v1000_r4.txt,dp,3675,"5 42 55 81 90",0.007149235,seconds
100,100000,1000,4,instances/n100_w100000_v1000_r4.txt,bt,3675,"5 42 55 81 90",0.002005160,seconds
100,100000,1000,4,instances/n100_w100000_v1000_r4.txt,bb,3675,"5 42 55 81 90",0.000349748,seconds
100,100000,1000,5,instances/n100_w100000_v1000_r5.txt,dp,4354,"5 49 51 67 81 88",0.010082579,seconds
100,100000,1000,5,instances/n100_w100000_v1000_r5.txt,bt,4354,"5 49 51 67 81 88",0.003257751,seconds
100,100000,1000,5,instances/n100_w100000_v1000_r5.txt,bb,4354,"5 49 51 67 81 88",0.002450232,seconds
100,100000,1000,6,instances/n100_w100000_v1000_r6.txt,dp,3497,"1 56 71 72 75 79",0.004523780,seconds
100,100000,1000,6,instances/n100_w100000_v1000_r6.txt,bt,3497,"1 56 71 72 75 79",0.000837080,seconds
100,100000,1000,6,instances/n100_w100000_v1000_r6.txt,bb,3497,"1 56 71 72 75 79",0.000285317,seconds
100,100000,1000,7,instances/n100_w100000_v1000_r7.txt,dp,3361,"11 48 51 54",0.002553676,seconds
100,100000,1000,7,instances/n100_w100000_v1000_r7.txt,bt,3361,"11 48 51 54",0.000397262,seconds
100,100000,1000,7,instances/n100_w100000_v1000_r7.txt,bb,3361,"11 48 51 54",0.000485075,seconds
100,100000,1000,8,instances/n100_w100000_v1000_r8.txt,dp,3820,"1 10 12 18 53",0.004989679,seconds
100,100000,1000,8,instances/n100_w100000_v1000_r8.txt,bt,3820,"1 10 12 18 53",0.001499656,seconds
100,100000,1000,8,instances/n100_w100000_v1000_r8.txt,bb,3820,"1 10 12 18 53",0.000230045,seconds
100,100000,1000,9,instances/n100_w100000_v1000_r9.txt,dp,3802,"7 18 22 39 55 82",0.002906434,seconds
100,100000,1000,9,instances/n100_w100000_v1000_r9.txt,bt,3802,"7 18 22 39 55 82",0.001635743,seconds
100,100000,1000,9,instances/n100_w100000_v1000_r9.txt,bb,3802,"7 18 22 39 55 82",0.000982546,seconds
100,100000,1000,10,instances/n100_w100000_v1000_r10.txt,dp,3776,"13 21 32 51 62 93",0.008707163,seconds
100,100000,1000,10,instances/n100_w100000_v1000_r10.txt,bt,3776,"13 21 32 51 62 93",0.001598223,seconds
100,100000,1000,10,instances/n100_w100000_v1000_r10.txt,bb,3776,"13 21 32 51 62 93",0.001030546,seconds
100,100000,100000,1,instances/n100_w100000_v100000_r1.txt,dp,5116,"14 20 31 34 49 63 76",0.012032081,seconds
100,100000,100000,1,instances/n100_w100000_v100000_r1.txt,bt,5116,"14 20 31 34 49 63 76",0.002846823,seconds
100,100000,100000,1,instances/n100_w100000_v100000_r1.txt,bb,5116,"14 20 31 34 49 63 76",0.001563293,seconds
100,100000,100000,2,instances/n100_w100000_v100000_r2.txt,dp,2759,"6 15 92 93 98",0.002528687,seconds
100,100000,100000,2,instances/n100_w100000_v100000_r2.txt,bt,2759,"6 15 92 93 98",0.000640773,seconds
100,100000,100000,2,instances/n100_w100000_v100000_r2.txt,bb,2759,"6 15 92 93 98",0.000317861,seconds
100,100000,100000,3,instances/n100_w100000_v100000_r3.txt,dp,4816,"15 16 27 64 78 90 99",0.016814258,seconds
100,100000,100000,3,instances/n100_w100000_v100000_r3.txt,bt,4816,"15 16 27 64 78 90 99",0.005205249,seconds
100,100000,100000,3,instances/n100_w100000_v100000_r3.txt,bb,4816,"15 16 27 64 78 90 99",0.000718388,seconds
100,100000,100000,4,instances/n100_w100000_v100000_r4.txt,dp,6155,"1 13 21 61 83 90 91 98",0.035626396,seconds
100,100000,100000,4,instances/n100_w100000_v100000_r4.txt,bt,6155,"1 13 21 61 83 90 91 98",0.012393838,seconds
100,100000,100000,4,instances/n100_w100000_v100000_r4.txt,bb,6155,"1 13 21 61 83 90 91 98",0.003059058,seconds
100,100000,100000,5,instances/n100_w100000_v100000_r5.txt,dp,5034,"13 23 52 64 69 80",0.020936101,seconds
100,100000,100000,5,instances/n100_w100000_v100000_r5.txt,bt,5034,"13 23 52 64 69 80",0.004732185,seconds
100,100000,100000,5,instances/n100_w100000_v100000_r5.txt,bb,5034,"13 23 52 64 69 80",0.001130957,seconds
100,100000,100000,6,instances/n100_w100000_v100000_r6.txt,dp,5904,"2 17 41 42 47 84 92 93",0.005761792,seconds
100,100000,100000,6,instances/n100_w100000_v100000_r6.txt,bt,5904,"2 17 41 42 47 84 92 93",0.003052806,seconds
100,100000,100000,6,instances/n100_w100000_v100000_r6.txt,bb,5904,"2 17 41 42 47 84 92 93",0.000422380,seconds
100,100000,100000,7,instances/n100_w100000_v100000_r7.txt,dp,5092,"5 22 24 28 55 67 87 91",0.018550493,seconds
100,100000,100000,7,instances/n100_w100000_v100000_r7.txt,bt,5092,"5 22 24 28 55 67 87 91",0.004484486,seconds
