n,W,V,rep,instance,algorithm,profit,chosen_items,time_seconds,time_unit,status
500,100,100,3,instances/n500_w100_v100_r3.txt,dp,8659.0,24 113 128 129 153 174 197 271 348 463 483,0.053422928,seconds,
500,100,100,3,instances/n500_w100_v100_r3.txt,bt,8659.0,24 113 128 129 153 174 197 271 348 463 483,118.447216862,seconds,
500,100,100,3,instances/n500_w100_v100_r3.txt,bb,8659.0,24 113 128 129 153 174 197 271 348 463 483,8.508534896,seconds,
500,100,100,4,instances/n500_w100_v100_r4.txt,dp,6395.0,49 70 178 232 236 316 329 440 461,0.040945937,seconds,
500,100,100,4,instances/n500_w100_v100_r4.txt,bt,6395.0,49 70 178 232 236 316 329 440 461,5.581744451,seconds,
500,100,100,4,instances/n500_w100_v100_r4.txt,bb,6395.0,49 70 178 232 236 316 329 440 461,1.003738458,seconds,
500,100,100,5,instances/n500_w100_v100_r5.txt,dp,6625.0,7 10 162 193 201 238 298 312 403 429,0.05634711,seconds,
500,100,100,5,instances/n500_w100_v100_r5.txt,bt,6625.0,7 10 162 193 201 238 298 312 403 429,25.851078897,seconds,
500,100,100,5,instances/n500_w100_v100_r5.txt,bb,6625.0,7 10 162 193 201 238 298 312 403 429,3.479478673,seconds,
500,100,100,6,instances/n500_w100_v100_r6.txt,dp,7045.0,39 106 117 119 164 206 257 314 325 369,0.044766331,seconds,
500,100,100,6,instances/n500_w100_v100_r6.txt,bt,7045.0,39 106 117 119 164 206 257 314 325 369,102.426696051,seconds,
500,100,100,6,instances/n500_w100_v100_r6.txt,bb,7045.0,39 106 117 119 164 206 257 314 325 369,12.833092891,seconds,
500,100,100,7,instances/n500_w100_v100_r7.txt,dp,6798.0,273 318 332 352 357 409 432 489 491,0.039857548,seconds,
500,100,100,7,instances/n500_w100_v100_r7.txt,bt,6798.0,273 318 332 352 357 409 432 489 491,28.498096906,seconds,
500,100,100,7,instances/n500_w100_v100_r7.txt,bb,6798.0,273 318 332 352 357 409 432 489 491,0.747363119,seconds,
500,100,100,8,instances/n500_w100_v100_r8.txt,dp,6541.0,95 128 146 151 193 312 385 431 453 483,0.044095945,seconds,
500,100,100,8,instances/n500_w100_v100_r8.txt,bt,6541.0,95 128 146 151 193 312 385 431 453 483,18.151777866,seconds,
500,100,100,8,instances/n500_w100_v100_r8.txt,bb,6541.0,95 128 146 151 193 312 385 431 453 483,2.09247238,seconds,
500,100,100,9,instances/n500_w100_v100_r9.txt,dp,6652.0,56 146 183 184 186 228 301 308 456,0.041731704,seconds,
500,100,100,9,instances/n500_w100_v100_r9.txt,bt,6652.0,56 146 183 184 186 228 301 308 456,6.096757151,seconds,
500,100,100,9,instances/n500_w100_v100_r9.txt,bb,6652.0,56 146 183 184 186 228 301 308 456,1.637966235,seconds,
500,100,100,10,instances/n500_w100_v100_r10.txt,dp,7153.0,82 86 154 237 333 347 351 369 449 494,0.04603816,seconds,
500,100,100,10,instances/n500_w100_v100_r10.txt,bt,7153.0,82 86 154 237 333 347 351 369 449 494,35.575390912,seconds,
500,100,100,10,instances/n500_w100_v100_r10.txt,bb,7153.0,82 86 154 237 333 347 351 369 449 494,5.375390626,seconds,
